Function,Basis,System,BasFunc,Input,Reference,RelVal
pbe0,def2-sv_p,O,14,-19.3449,-19.8893,0.31
pbe0,def2-svpd,B,20,-6.8884,-7.1960,0.03
pbe0,def2-svpd,Be,12,-4.1121,-4.3361,0.01
pbe0,def2-svpd,C,20,-10.3746,-10.7658,0.08
pbe0,def2-svpd,F,23,-24.8540,-25.4317,0.53
pbe0,def2-svpd,Li,12,-2.0399,-2.1679,0.00
pbe0,def2-svpd,N,20,-14.4933,-14.9587,0.17
pbe0,def2-svpd,Ne,23,-31.0810,-31.7230,0.84
pbe0,def2-svpd,O,23,-19.3748,-19.8893,0.31
pbe0,def2-tzvp,B,31,-6.8876,-7.1960,0.03
pbe0,def2-tzvp,Be,19,-4.1108,-4.3361,0.01
pbe0,def2-tzvp,C,31,-10.3795,-10.7658,0.08
pbe0,def2-tzvp,F,31,-24.8352,-25.4317,0.53
pbe0,def2-tzvp,Li,14,-2.0422,-2.1679,0.00
pbe0,def2-tzvp,N,31,-14.5013,-14.9587,0.17
pbe0,def2-tzvp,Ne,31,-31.0571,-31.7230,0.84
pbe0,def2-tzvp,O,31,-19.3577,-19.8893,0.31
pbe0,def2-tzvpd,B,37,-6.8879,-7.1960,0.03
pbe0,def2-tzvpd,Be,22,-4.1108,-4.3361,0.01
pbe0,def2-tzvpd,C,37,-10.3798,-10.7658,0.08
pbe0,def2-tzvpd,F,40,-24.8411,-25.4317,0.53
pbe0,def2-tzvpd,Li,17,-2.0421,-2.1679,0.00
pbe0,def2-tzvpd,N,37,-14.5016,-14.9587,0.17
pbe0,def2-tzvpd,Ne,40,-31.0646,-31.7230,0.84
pbe0,def2-tzvpd,O,40,-19.3634,-19.8893,0.31
wB97,631G,B,9,-6.8339,-7.1960,0.03
wB97,631G,Be,9,-4.1062,-4.3361,0.01
wB97,631G,C,9,-10.2786,-10.7658,0.08
wB97,631G,F,9,-24.5737,-25.4317,0.53
wB97,631G,Li,9,-2.1003,-2.1679,0.00
wB97,631G,N,9,-14.3701,-14.9587,0.17
wB97,631G,Ne,9,-30.7197,-31.7230,0.84
wB97,631G,O,9,-19.1646,-19.8893,0.31
wB97,aug-cc-pvdz,B,23,-6.8602,-7.1960,0.03
wB97,aug-cc-pvdz,Be,23,-4.1282,-4.3361,0.01
wB97,aug-cc-pvdz,C,23,-10.3056,-10.7658,0.08
wB97,aug-cc-pvdz,F,23,-24.6179,-25.4317,0.53
wB97,aug-cc-pvdz,Li,23,-2.1083,-2.1679,0.00
wB97,aug-cc-pvdz,N,23,-14.3853,-14.9587,0.17
wB97,aug-cc-pvdz,Ne,23,-30.7793,-31.7230,0.84
wB97,aug-cc-pvdz,O,23,-19.1857,-19.8893,0.31
wB97,aug-cc-pvtz,B,46,-6.8537,-7.1960,0.03
wB97,aug-cc-pvtz,Be,46,-4.1256,-4.3361,0.01
wB97,aug-cc-pvtz,C,46,-10.2917,-10.7658,0.08
wB97,aug-cc-pvtz,F,46,-24.5904,-25.4317,0.53
wB97,aug-cc-pvtz,Li,46,-2.1071,-2.1679,0.00
wB97,aug-cc-pvtz,N,46,-14.3662,-14.9587,0.17
wB97,aug-cc-pvtz,Ne,46,-30.7442,-31.7230,0.84
wB97,aug-cc-pvtz,O,46,-19.1618,-19.8893,0.31
wB97,def2-sv_p,B,14,-6.8534,-7.1960,0.03
wB97,def2-sv_p,Be,9,-4.1258,-4.3361,0.01
wB97,def2-sv_p,C,14,-10.2858,-10.7658,0.08
wB97,def2-sv_p,F,14,-24.5696,-25.4317,0.53
wB97,def2-sv_p,Li,9,-2.1104,-2.1679,0.00
wB97,def2-sv_p,N,14,-14.3542,-14.9587,0.17
wB97,def2-sv_p,Ne,14,-30.7151,-31.7230,0.84
wB97,def2-sv_p,O,14,-19.1454,-19.8893,0.31
wB97,def2-svpd,B,20,-6.8553,-7.1960,0.03
wB97,def2-svpd,Be,12,-4.1258,-4.3361,0.01
wB97,def2-svpd,C,20,-10.2879,-10.7658,0.08
wB97,def2-svpd,F,23,-24.6067,-25.4317,0.53
wB97,def2-svpd,Li,12,-2.1105,-2.1679,0.00
wB97,def2-svpd,N,20,-14.3570,-14.9587,0.17
wB97,def2-svpd,Ne,23,-30.7646,-31.7230,0.84
wB97,def2-svpd,O,23,-19.1771,-19.8893,0.31
wB97,def2-tzvp,B,31,-6.8478,-7.1960,0.03
wB97,def2-tzvp,Be,19,-4.1206,-4.3361,0.01
wB97,def2-tzvp,C,31,-10.2842,-10.7658,0.08
wB97,def2-tzvp,F,31,-24.5780,-25.4317,0.53
wB97,def2-tzvp,Li,14,-2.1106,-2.1679,0.00
wB97,def2-tzvp,N,31,-14.3570,-14.9587,0.17
wB97,def2-tzvp,Ne,31,-30.7295,-31.7230,0.84
wB97,def2-tzvp,O,31,-19.1511,-19.8893,0.31
wB97,def2-tzvpd,B,37,-6.8481,-7.1960,0.03
wB97,def2-tzvpd,Be,22,-4.1206,-4.3361,0.01
wB97,def2-tzvpd,C,37,-10.2846,-10.7658,0.08
wB97,def2-tzvpd,F,40,-24.5839,-25.4317,0.53
wB97,def2-tzvpd,Li,17,-2.1107,-2.1679,0.00
wB97,def2-tzvpd,N,37,-14.3573,-14.9587,0.17
wB97,def2-tzvpd,Ne,40,-30.7376,-31.7230,0.84
wB97,def2-tzvpd,O,40,-19.1561,-19.8893,0.31
blyp,631G,B,9,-6.6093,-7.1960,0.03
blyp,631G,Be,9,-3.8939,-4.3361,0.01
blyp,631G,C,9,-10.0506,-10.7658,0.08
blyp,631G,F,9,-24.3443,-25.4317,0.53
blyp,631G,Li,9,-1.8950,-2.1679,0.00
blyp,631G,N,9,-14.1381,-14.9587,0.17
blyp,631G,Ne,9,-30.5014,-31.7230,0.84
blyp,631G,O,9,-18.9363,-19.8893,0.31
blyp,aug-cc-pvdz,B,23,-6.6414,-7.1960,0.03
blyp,aug-cc-pvdz,Be,23,-3.9186,-4.3361,0.01
blyp,aug-cc-pvdz,C,23,-10.0858,-10.7658,0.08
blyp,aug-cc-pvdz,F,23,-24.3976,-25.4317,0.53
blyp,aug-cc-pvdz,Li,23,-1.9028,-2.1679,0.00
blyp,aug-cc-pvdz,N,23,-14.1326,-14.9587,0.17
blyp,aug-cc-pvdz,Ne,23,-30.5708,-31.7230,0.84
blyp,aug-cc-pvdz,O,23,-18.9661,-19.8893,0.31
blyp,aug-cc-pvtz,B,46,-6.9718,-7.1960,0.03
blyp,aug-cc-pvtz,Be,46,-4.1775,-4.3361,0.01
blyp,aug-cc-pvtz,C,46,-10.4902,-10.7658,0.08
blyp,aug-cc-pvtz,F,46,-25.0092,-25.4317,0.53
blyp,aug-cc-pvtz,Li,46,-2.0845,-2.1679,0.00
blyp,aug-cc-pvtz,N,46,-14.6308,-14.9587,0.17
blyp,aug-cc-pvtz,Ne,46,-31.2593,-31.7230,0.84
blyp,aug-cc-pvtz,O,46,-19.5112,-19.8893,0.31
blyp,def2-sv_p,B,14,-6.6309,-7.1960,0.03
blyp,def2-sv_p,Be,9,-3.9142,-4.3361,0.01
blyp,def2-sv_p,C,14,-10.0568,-10.7658,0.08
blyp,def2-sv_p,F,14,-24.3398,-25.4317,0.53
blyp,def2-sv_p,Li,9,-1.8995,-2.1679,0.00
blyp,def2-sv_p,N,14,-14.0994,-14.9587,0.17
blyp,def2-sv_p,Ne,14,-30.4969,-31.7230,0.84
blyp,def2-sv_p,O,14,-18.9157,-19.8893,0.31
blyp,def2-svpd,B,20,-6.6332,-7.1960,0.03
blyp,def2-svpd,Be,12,-3.9142,-4.3361,0.01
blyp,def2-svpd,C,20,-10.0594,-10.7658,0.08
blyp,def2-svpd,F,23,-24.3847,-25.4317,0.53
blyp,def2-svpd,Li,12,-1.8995,-2.1679,0.00
blyp,def2-svpd,N,20,-14.1029,-14.9587,0.17
blyp,def2-svpd,Ne,23,-30.5550,-31.7230,0.84
blyp,def2-svpd,O,23,-18.9556,-19.8893,0.31
blyp,def2-tzvp,B,31,-6.6292,-7.1960,0.03
blyp,def2-tzvp,Be,19,-3.9110,-4.3361,0.01
blyp,def2-tzvp,C,31,-10.0623,-10.7658,0.08
blyp,def2-tzvp,F,31,-24.3543,-25.4317,0.53
blyp,def2-tzvp,Li,14,-1.9020,-2.1679,0.00
blyp,def2-tzvp,N,31,-14.1050,-14.9587,0.17
blyp,def2-tzvp,Ne,31,-30.5180,-31.7230,0.84
blyp,def2-tzvp,O,31,-18.9287,-19.8893,0.31
blyp,def2-tzvpd,B,37,-6.6295,-7.1960,0.03
blyp,def2-tzvpd,Be,22,-3.9110,-4.3361,0.01
blyp,def2-tzvpd,C,37,-10.0627,-10.7658,0.08
blyp,def2-tzvpd,F,40,-24.3632,-25.4317,0.53
blyp,def2-tzvpd,Li,17,-1.9020,-2.1679,0.00
blyp,def2-tzvpd,N,37,-14.1055,-14.9587,0.17
blyp,def2-tzvpd,Ne,40,-30.5291,-31.7230,0.84
blyp,def2-tzvpd,O,40,-18.9371,-19.8893,0.31
